Restaurant Name,Inspection Date,Score,Address,Zip Code,Latitude,Longitude,Facility ID,Process Description
Star Stop 76,07-12-16,97,"2909 W ANDERSON LN, AUSTIN, TX 78757",78757,30.35953,-97.73807,11027854,Routine Inspection
Star Seeds Cafe,14-07-15,85,"3101 N IH 35 SVRD NB, AUSTIN, TX 78722",78722,30.288599,-97.723331,2801964,Routine Inspection
Stonebriar Nursing and Rehab,20-10-14,90,"110 E LIVE OAK ST, AUSTIN, TX 78704",78704,30.241778,-97.752028,10964218,Routine Inspection
Subway,31-12-14,87,"2315 S CONGRESS AVE, AUSTIN, TX 78704",78704,30.239132,-97.75328,10864026,Routine Inspection
Starbucks Coffee Company,08-10-16,93,"301 W 3RD ST, AUSTIN, TX 78701",78701,30.265989,-97.746453,11075085,Routine Inspection
Stone House Vineyard & Winery,05-05-16,97,"24350 HAYNIE FLAT RD, SPICEWOOD, TX 78669",78669,30.436269,-98.067523,2802886,Routine Inspection
Stepping Stone School XII,06-07-16,87,"7700 W PARMER LN, AUSTIN, TX 78729",78729,30.456469,-97.752836,10042667,Routine Inspection
Starbucks Coffee #6227,21-01-14,100,"2727 EXPOSITION BLVD Unit 126, AUSTIN, TX 78703",78703,30.304566,-97.76469,2801131,Routine Inspection
"Squarerut Kava Bar Barton Springs, LLC",27-06-16,95,"1601 BARTON SPRINGS RD, AUSTIN, TX 78704",78704,30.262157,-97.761847,11463715,Routine Inspection
Stepping Stone Child Dev,30-12-15,92,"1313 RED RIVER ST, AUSTIN, TX 78701",78701,30.274065,-97.735073,2801664,Routine Inspection
St. Luke Infant Care Center,29-01-16,93,"1611 W 14TH ST, AUSTIN, TX 78703",78703,30.281691,-97.759095,10052358,Routine Inspection
Springhill Suites,06-09-16,95,"10936 STONELAKE BLVD, AUSTIN, TX 78759",78759,30.398647,-97.733434,2801648,Routine Inspection
Star Stop 76,01-07-16,90,"2909 W ANDERSON LN, AUSTIN, TX 78757",78757,30.35953,-97.73807,11027854,Routine Inspection
Starbucks #6374,15-03-16,96,"7301 N FM 620 RD, AUSTIN, TX 78726",78726,30.40541,-97.853164,2801732,Routine Inspection
Stompin' Grounds,12-04-13,91,"3801 S CONGRESS AVE, AUSTIN, TX 78704",78704,30.226152,-97.762155,10237485,Routine Inspection
Starbuck's Coffee#6203,13-05-14,100,"9722 GREAT HILLS TRL, AUSTIN, TX 78759",78759,30.394529,-97.75208,2800798,Routine Inspection
Subway,18-12-15,88,"7020 EASY WIND DR Unit 150, AUSTIN, TX 78757",78757,30.338552,-97.719077,10988259,Routine Inspection
Stepping Stone School XVII,01-07-16,100,"1007 E 40TH ST, AUSTIN, TX 78751",78751,30.297108,-97.719591,10652260,Routine Inspection
Stinson's Bistro,09-09-15,100,"4416 BURNET RD, AUSTIN, TX 78756",78756,30.315161,-97.741716,11078892,Routine Inspection
Stop N Start,04-03-15,86,"6010 W PARMER LN, AUSTIN, TX 78727",78727,30.442949,-97.741795,11233910,Routine Inspection
Starstop 37,12-11-15,92,"8224 BURNET RD, AUSTIN, TX 78757",78757,30.362557,-97.729156,10880392,Routine Inspection
Stone House Vineyard & Winery,19-09-14,100,"24350 HAYNIE FLAT RD, SPICEWOOD, TX 78669",78669,30.436269,-98.067523,2802886,Routine Inspection
Star of Texas,25-02-14,100,"611 W 22ND ST, AUSTIN, TX 78705",78705,30.285196,-97.744645,10002635,Routine Inspection
Subway,05-12-16,93,"12129 N FM 620 RD Bunit 202, AUSTIN, TX 78750",78750,30.461589,-97.817802,2801660,Routine Inspection
Stinson's Bistro Rosedale LLC,30-08-16,93,"7113 BURNET RD, AUSTIN, TX 78757",78757,30.347797,-97.736018,11359658,Routine Inspection
Starbucks Coffee #6368,20-05-15,100,"501 W 15TH ST, AUSTIN, TX 78701",78701,30.278185,-97.744242,2801814,Routine Inspection
Star of Texas Inn,13-11-14,100,"2109 RIO GRANDE ST, AUSTIN, TX 78705",78705,30.284812,-97.744981,10840590,Routine Inspection
Starbucks Coffee #22300,22-07-16,97,"1801 E 51ST ST Bunit 190, AUSTIN, TX 78723",78723,30.302589,-97.697714,11261275,Routine Inspection
