Pinterest Board,Pinboard URL,Image URL,Description,Pin Note,Original Link,Pinterest URL,Name,Week,Date Pinned
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/5f/dc/49/5fdc49e34f1110fc3b661bd453a89d50.jpg,"“#MakeoverMonday Wk 8 took 10 minutes. It shows! Similar to Andy K's, so I can live with it! https://t.co/wOjFtcYW3D”",Week 8 - Charlie H,https://twitter.com/charliehtableau/status/746018522111877121,https://www.pinterest.com/pin/468937379932443129/,Charlie H,8,24-06-16 05:39
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/b0/41/59/b04159ac6a0608c82b4bfa9fad437f9d.jpg,“#MakeoverMonday Workshop with Andy Cotgreave in Tokyo!”,Week 25 - ?????,https://twitter.com/kazkida/status/745863449058631681,https://www.pinterest.com/pin/468937379932430767/,?????,25,23-06-16 07:50
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/42/3f/aa/423faa9e86bdd1702a44749f1fbff340.jpg,“Makeover Monday Workshop in Tokyo #MakeoverMonday”,Week 25 - Yosuke Katsuki,https://twitter.com/yokatsuki/status/745866070188265472,https://www.pinterest.com/pin/468937379932430762/,Yosuke Katsuki,25,23-06-16 07:49
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/11/14/ab/1114ab441b19cc6248d931214ebbaa9e.jpg,“Theft in Japan #MakeoverMonday Please note the pie chart usage was to mimic Japan's flag @VizWizBI @acotgreave”,Week 25 - Shawn Levin,https://twitter.com/shawnmlevin/status/745831625267740673,https://www.pinterest.com/pin/468937379932430149/,Shawn Levin,25,23-06-16 06:09
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/e4/76/50/e47650da51e027cf3385d2d02b3d5c9b.jpg,“#MakeoverMonday ALL in! @VizWizBI @acotgreave Thanks for your help with this one @acrahen! https://t.co/AsM2tt0q0Q”,Week 2 - Pooja Gandhi,https://twitter.com/drexelpooja/status/745763833638227969,https://www.pinterest.com/pin/468937379932430117/,Pooja Gandhi,2,23-06-16 06:06
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/3b/5b/ac/3b5bac28937a79e1373a587fdd5f769d.jpg,“First #MakeoverMonday attempt! #BetterLateThanNever #data16 @VizWizBI https://t.co/9pM0CyfEXY”,Week 25 - Colin Fowler,https://twitter.com/colin_fowler_/status/745740897803874304,https://www.pinterest.com/pin/468937379932430105/,Colin Fowler,25,23-06-16 06:05
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/66/bd/88/66bd88799b74990766bf52fa888145d0.jpg,"“@VizWizBI as you requested, By the way I have used your method Using LOD Calcs so thank you!”",Week 25 - Rami AlYousef,https://twitter.com/ramialyousef/status/745685480230948865,https://www.pinterest.com/pin/468937379932423243/,Rami AlYousef,25,22-06-16 19:38
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/07/a8/ab/07a8ab898926fa7788423d1a3aebb3e4.jpg,“@VizWizBI Nice to meet you! And thank you for your comment. Here is the viz.”,Week 25 - natsumiiina,https://twitter.com/natsumeating/status/745613094861180928,https://www.pinterest.com/pin/468937379932419451/,natsumiiina,25,22-06-16 13:51
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/d0/de/3a/d0de3a51ccd688b467f6644f3d0a8088.jpg,“Aaaaand #MakeoverMonday week 5 is done too. That'll do for now. https://t.co/md2vjHzSvr”,Week 5 - Charlie H,https://twitter.com/charliehtableau/status/745328519635415044,https://www.pinterest.com/pin/468937379932417154/,Charlie H,5,22-06-16 08:12
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/ea/77/25/ea7725000977725ddb0c760743b6e24a.jpg,“Hi Andy Simple this week!! Jo #MakeOverMonday https://t.co/H5tqbHV8FL”,Week 25 - Joe Radburn,https://twitter.com/robradburn/status/745336330238967809,https://www.pinterest.com/pin/468937379932417151/,Joe Radburn,25,22-06-16 08:11
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/81/9e/cc/819eccfb176760c022c890ea67fc3de1.jpg,“Catching up with #MakeoverMonday - This is inspired by @DataSchoolUK's infographics week | https://t.co/YHxMPpvIGH”,Week 8 - Ravi Mistry,https://twitter.com/scribblr_42/status/745527655810764800,https://www.pinterest.com/pin/468937379932417134/,Ravi Mistry,8,22-06-16 08:07
