Survey Date,City,Country,TOTAL,Very satisfied,% Very satisfied,Rather satisfied,% Rather satisfied,Rather unsatisfied,% Rather unsatisfied,Not at all satisfied,% Not at all satisfied,Don't know,% Don't know,Total 'Satisfied',% Total 'Satisfied',Total 'Not satisfied',% Total 'Not satisfied'
May-Jun 2015,Antalya,Turkey,501,110,0.22,156,0.31,89,0.18,77,0.15,69,0.14,266,0.53,166,0.33
Nov-Dec 2012,Diyarbakir,Turkey,506,121,0.24,156,0.31,85,0.17,119,0.23,25,0.05,277,0.55,204,0.4
May-Jun 2015,Diyarbakir,Turkey,501,131,0.26,161,0.32,71,0.14,117,0.24,21,0.04,292,0.58,188,0.38
Nov-Dec 2012,Istanbul,Turkey,500,114,0.23,168,0.34,72,0.14,119,0.24,27,0.05,282,0.57,191,0.38
May-Jun 2015,Istanbul,Turkey,501,128,0.26,155,0.31,89,0.18,112,0.22,17,0.03,283,0.57,201,0.4
Nov-Dec 2012,Belfast,United Kingdom,497,185,0.37,185,0.37,54,0.11,38,0.08,34,0.07,371,0.74,93,0.19
May-Jun 2015,Belfast,United Kingdom,500,166,0.33,199,0.4,73,0.14,28,0.06,34,0.07,366,0.73,101,0.2
Nov-Dec 2012,Cardiff,United Kingdom,498,180,0.36,197,0.4,50,0.1,19,0.04,51,0.1,378,0.76,69,0.14
May-Jun 2015,Cardiff,United Kingdom,502,160,0.32,207,0.41,72,0.14,23,0.05,40,0.08,367,0.73,95,0.19
Nov-Dec 2012,Glasgow,United Kingdom,501,194,0.39,178,0.35,67,0.13,33,0.07,29,0.06,372,0.74,100,0.2
May-Jun 2015,Glasgow,United Kingdom,501,194,0.39,205,0.41,51,0.1,20,0.04,31,0.06,399,0.8,71,0.14
Nov-Dec 2012,London,United Kingdom,502,247,0.49,176,0.35,37,0.07,24,0.05,18,0.04,423,0.84,61,0.12
May-Jun 2015,London,United Kingdom,500,217,0.43,213,0.43,34,0.07,22,0.04,14,0.03,430,0.86,56,0.11
Nov-Dec 2012,Manchester,United Kingdom,499,215,0.43,173,0.35,49,0.1,25,0.05,37,0.07,388,0.78,74,0.15
May-Jun 2015,Manchester,United Kingdom,502,238,0.47,177,0.35,39,0.08,16,0.03,32,0.07,414,0.82,56,0.11
Nov-Dec 2012,Newcastle,United Kingdom,500,197,0.39,159,0.32,55,0.11,34,0.07,54,0.11,356,0.71,90,0.18
May-Jun 2015,Newcastle,United Kingdom,502,211,0.42,176,0.35,49,0.1,26,0.05,40,0.08,387,0.77,75,0.15
Nov-Dec 2012,Manchester surr.,United Kingdom,503,179,0.35,187,0.37,38,0.08,44,0.09,54,0.11,366,0.72,82,0.17
May-Jun 2015,Manchester surr.,United Kingdom,303,100,0.33,128,0.42,25,0.08,13,0.04,38,0.13,228,0.75,38,0.12
Nov-Dec 2012,Greater Manchester,United Kingdom,1002,368,0.37,369,0.37,80,0.08,82,0.08,103,0.1,737,0.74,162,0.16
May-Jun 2015,Greater Manchester,United Kingdom,805,284,0.35,330,0.41,66,0.08,33,0.04,92,0.12,614,0.76,99,0.12
Nov-Dec 2012,Geneva,Switzerland,522,118,0.22,214,0.41,108,0.21,57,0.11,24,0.05,332,0.63,165,0.32
May-Jun 2015,Geneva,Switzerland,502,181,0.36,233,0.46,47,0.09,23,0.05,18,0.04,415,0.82,70,0.14
Nov-Dec 2012,Zurich,Switzerland,500,417,0.83,61,0.12,19,0.04,2,0.01,1,- ,478,0.95,21,0.05
May-Jun 2015,Zurich,Switzerland,500,395,0.79,88,0.18,9,0.02,5,0.01,2,-,483,0.97,15,0.03
