Country,Item,Metric,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
France,Peaches and nectarines,Production (tonnes),325010,309910,455550,415100,484720,318100,424970,614910,521850,488230,713680,585930,626720,570700,117840,573680,359670,433000,438000,459500,480400,413600,471400,482500,488100,473100,487900,451500,525853,491932,407470,530081,411118,527458,529127,463791,464000,341300,477510,480657,458135,455461,347218,396652,402646,394541,364947,299096,332050,311002,301770,275521
Georgia,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16500,13000,11000,14000,16000,13000,15058,15161,12808,10246,4820,13010,2863,10194,5300,8200,13700,17600,6900,19100,7100
Germany,Peaches and nectarines,Production (tonnes),37708,44075,27233,37759,18045,29906,26080,62844,34263,51320,45524,21636,38334,36230,15814,21874,15519,37647,19951,32514,11480,39589,36377,38729,22320,35253,23549,25657,26856,27312,11200,1100,800,700,700,800,300,700,700,1000,500,500,353,922,754,800,810,850,780,730,862,900
Greece,Peaches and nectarines,Production (tonnes),87060,89556,80193,116555,105491,136850,154609,173774,168744,174950,207513,273815,283750,295458,328838,360344,379722,405361,272400,398600,472264,475535,495275,570482,547607,585927,634132,656012,658413,786939,835061,1096867,1123300,1174000,1034421,1003000,588574,527580,1024595,949943,943336,687000,228000,875544,864406,767938,816009,855200,821900,738400,690200,760200
Guatemala,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000,36319,39535,40094,40464,41410,42480,43229,37673,41043,28531,34339,34339,34797,34222,34222,34089,30481,31091,32500
Hungary,Peaches and nectarines,Production (tonnes),43900,42400,40200,38300,38470,68418,84193,81160,125150,113455,118114,131781,119471,126306,78607,103643,76015,98724,72484,98326,80141,101159,88907,77049,80916,90093,50028,59099,79650,71992,61027,60628,62366,49779,42400,75562,53819,64763,70960,64121,56682,22175,31940,82609,48390,67554,40820,47508,61400,54193,43145,16905
India,Peaches and nectarines,Production (tonnes),43000,39000,49000,45000,48000,45000,49000,50000,49000,48500,44000,45000,53000,47000,48000,63000,66000,54000,73000,78000,76000,78000,70000,60000,65000,80000,90300,63912,67305,70000,75000,80000,83000,85000,89000,95000,100000,101000,114000,120000,150000,146176,155504,163851,173989,193342,211530,229557,231365,244000,243074,250000
Iran (Islamic Republic of),Peaches and nectarines,Production (tonnes),37000,38000,38000,39000,40000,40000,40000,40000,40000,40000,39000,39000,40000,41000,41000,42000,43000,43000,44000,45000,47000,50000,56000,65000,70000,72000,68000,75000,72486,70664,101753,122206,177091,140000,160000,191151,217787,267165,317513,350000,380000,385000,390000,400769,439771,370958,421304,574958,496130,496130,476446,500000
Iraq,Peaches and nectarines,Production (tonnes),1500,1500,1500,1700,1700,1700,2000,2000,2000,3000,3219,6000,9000,12000,15000,18000,22000,27670,27800,28000,28000,29000,28000,30000,30000,30000,27670,28000,28200,29000,24000,20000,27357,22000,22500,23000,23500,24000,22000,20000,20078,15000,13000,12000,11000,10000,3500,2500,1526,1452,1726,1850
Israel,Peaches and nectarines,Production (tonnes),4300,6400,5700,10400,9550,10750,17200,16300,16200,18000,22200,27450,22800,24050,23150,25300,22200,23950,25000,26200,40200,30200,41100,29400,29100,32200,29700,38390,37900,41200,40600,51200,62100,29000,51690,47220,47648,47100,45800,60100,53200,66920,71650,89030,68960,63552,65318,96502,80092,65763,54216,102261
Italy,Peaches and nectarines,Production (tonnes),1015000,1034900,1267000,1338800,1299800,1418800,1125100,1279800,882800,1127400,1249100,1273200,1176300,1251500,1140100,1447500,1164200,1176900,1389400,1368100,1498500,1539300,1620600,1554400,1424900,1437900,1513640,1442100,1611710,1719740,1442700,1892143,1641540,1790430,1328684,1754344,1158010,1425600,1766680,1655249,1679100,1586589,1175855,1710010,1693151,1664806,1630436,1589118,1691788,1590660,1636753,1331621
Japan,Peaches and nectarines,Production (tonnes),201300,190200,198600,206600,228700,263800,284600,295900,276500,279300,262400,248000,281400,263200,270600,267100,273200,276900,275600,244600,238800,227500,236900,215600,205400,219200,212400,202900,180300,189900,186200,187500,172900,174300,162800,168700,175400,169700,158100,174600,175600,175100,157000,151900,174000,146300,150200,157300,150700,136700,139800,135200
Jordan,Peaches and nectarines,Production (tonnes),195,300,274,445,647,647,1358,440,563,505,464,570,265,39,291,178,272,381,340,520,859,517,924,1461,1223,725,1371,4378,8862,9044,9523,5523,5569,17224,8829,7502,3765,6954,11607,6909,8072,14010,8682,13129,14375,14032,26437,29049,31424,20833,26939,39826
Kazakhstan,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18800,8800,8500,8200,6000,4400,1500,1300,2770,1100,2369,1990,3611,3500,2280,2110,1550,1890,2120,2300,2700
Kenya,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,481,480,400,432,526,450,246,113,327,364,520,500,501,458,470,578,593,343,424,1171
Kyrgyzstan,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1400,1650,1400,1100,2200,2300,2500,2000,1500,1400,2800,3500,3000,3800,5500,17000,15000,17700,12500,17800
Lebanon,Peaches and nectarines,Production (tonnes),10000,8000,8000,11000,9500,5394,10041,17316,7539,12114,12376,16676,19415,7510,22000,22000,20000,20000,20000,20000,20000,21900,23000,26000,28000,30000,32000,35000,37000,38000,41873,42816,44000,45000,45500,48632,41158,49400,53900,29700,27600,24300,26700,34500,34100,37400,41300,42000,30500,34000,36000,37000
Libya,Peaches and nectarines,Production (tonnes),400,500,300,300,400,300,300,300,300,250,1540,1724,2320,1263,1769,2225,2800,2270,2819,2367,4000,6387,9101,8726,9000,9500,9800,9860,10000,11000,11500,10000,9500,9000,8117,8900,9000,9100,9200,9500,9623,10000,9754,9750,10353,10400,10600,10685,10800,11500,12932,13500
Madagascar,Peaches and nectarines,Production (tonnes),4500,4500,4500,4500,1500,5000,1500,3000,5000,6500,8169,10435,5250,6145,4845,6470,5435,5795,6135,5300,6300,6450,6510,6770,6800,6900,7000,7100,7200,7300,7200,7300,7400,7200,7300,7400,7500,8009,7600,7500,7604,8742,8194,8714,8216,8000,8500,9399,10089,10213,10038,11500
Malta,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,500,600,463,812,747,1403,878,1924,606,1280,1343,902,1608,730
Mexico,Peaches and nectarines,Production (tonnes),70440,66828,74298,73916,76910,78708,79121,82780,78596,177546,225614,239715,243092,206584,235373,177843,192544,176640,159397,190633,191916,177987,149432,164950,174078,133176,122345,169904,144846,161162,132234,133459,153071,153931,120186,150811,128604,116014,126112,147211,175752,197946,223883,201957,208185,222063,192261,190961,198085,227421,167285,162866
Montenegro,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3814,3721,3482,3796,3612,3747,3857
Morocco,Peaches and nectarines,Production (tonnes),1200,3400,1690,13852,11694,14000,15000,14000,14000,14000,15000,15000,16000,17000,18000,19000,19000,19200,19400,19600,19800,20000,22000,24000,25000,26000,23000,29000,28000,35200,25000,33000,34000,36000,29900,35000,33700,38700,45341,48025,46130,54800,55100,54390,54600,71700,77429,75190,86726,85204,74771,70720
Nepal,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12050,13000,13100,14500,15000,16000,9500,11000,10664,12000,11500,12500,12300,17500,13597,13653,13721,13743,13776,13803,14326,14390,15889
Netherlands,Peaches and nectarines,Production (tonnes),895,1172,966,797,701,570,392,707,376,398,204,200,100,100,100,100,100,100,50,30,40,40,40,27,12,22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,Peaches and nectarines,Production (tonnes),13130,13969,21120,21560,18200,22689,23546,23360,25432,28575,26556,24223,27144,26701,20690,26178,25249,19119,21445,20721,23012,24730,23600,27330,25000,30000,28000,28500,24580,11300,8800,7700,8700,7200,7400,7500,14010,14024,17000,17000,14792,11015,7326,9261,8602,8700,8200,8100,8000,7764,8000,8100
Occupied Palestinian Territory,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,563,1117,863,1082,784,1522,1222,1563,1151,1290,1244,1542,1712,1615,1623,1750,1800,2000
Pakistan,Peaches and nectarines,Production (tonnes),7100,4800,6100,11300,17000,9000,8000,8200,9000,8100,8700,8700,10100,9400,9791,8907,10322,10889,9800,10115,10300,11198,11350,11700,12100,13000,15200,17900,20400,21800,29932,33538,36838,40242,44772,45786,46526,48284,33000,32940,37518,76300,76223,69586,70305,71266,82392,83670,53994,52579,54378,56000
Paraguay,Peaches and nectarines,Production (tonnes),2700,2700,2750,2800,2800,2900,2950,3000,3050,3136,3240,3321,3407,3502,3600,3708,3634,3706,3744,3000,2400,1886,1945,2599,2677,2409,2156,1867,1905,1894,1884,1874,1855,1874,1710,1560,1424,1500,1400,1187,1250,1305,1300,1260,1270,1286,1276,1459,1397,1496,1341,1350
